pid,tau,k,l2sp,n_val,set_mae,set_acc,set_qwk,set_macro_f1,base_set_mae,base_set_acc,grad_norm,head_in,embed_fcd,adapt_steps
001,1.0,1,0.5,37,2.2432432432432434,0.24324324324324326,-0.6468842729970326,0.22803030303030303,1.7837837837837838,0.32432432432432434,0.0007423930801451206,76,1,2000
001,1.0,2,0.25,37,1.8108108108108107,0.24324324324324326,-0.2940664694623283,0.18379953379953382,1.7837837837837838,0.32432432432432434,0.001052996376529336,76,1,2000
001,1.0,3,0.16666666666666666,37,1.7837837837837838,0.24324324324324326,-0.2790449037776195,0.18379953379953382,1.7837837837837838,0.32432432432432434,6.333081546472386e-05,76,1,2000
001,1.0,4,0.125,37,1.7027027027027026,0.3783783783783784,-0.007032165646568611,0.25210727969348656,1.7837837837837838,0.32432432432432434,9.562080549585517e-08,76,1,2000
001,1.0,5,0.1,37,1.8918918918918919,0.2702702702702703,-0.06848964988499873,0.2276094276094276,1.7837837837837838,0.32432432432432434,4.7208655473696126e-07,76,1,2000
001,1.0,6,0.08333333333333333,37,1.945945945945946,0.2972972972972973,-0.046846011131725485,0.22727272727272724,1.7837837837837838,0.32432432432432434,1.0676421879907139e-07,76,1,2000
001,1.0,8,0.0625,37,2.0,0.24324324324324326,-0.04118050789293082,0.15786435786435787,1.7837837837837838,0.32432432432432434,1.2261766357823944e-07,76,1,2000
001,1.0,10,0.05,37,2.0,0.24324324324324326,-0.04118050789293082,0.15786435786435787,1.7837837837837838,0.32432432432432434,1.2891871392639587e-07,76,1,2000
001,1.0,12,0.041666666666666664,37,1.972972972972973,0.24324324324324326,-0.027180857242420586,0.1586111111111111,1.7837837837837838,0.32432432432432434,1.2397269699704339e-07,76,1,2000
001,1.0,14,0.03571428571428571,37,1.972972972972973,0.24324324324324326,-0.027180857242420586,0.1586111111111111,1.7837837837837838,0.32432432432432434,1.4416515625725879e-07,76,1,2000
001,1.0,16,0.03125,37,1.972972972972973,0.24324324324324326,-0.027180857242420586,0.1586111111111111,1.7837837837837838,0.32432432432432434,1.6647641132294666e-07,76,1,2000
001,1.0,20,0.025,37,1.945945945945946,0.2702702702702703,-0.029941520467836158,0.1960714285714286,1.7837837837837838,0.32432432432432434,1.5371600170510646e-07,76,1,2000
001,1.0,25,0.02,37,1.8918918918918919,0.2972972972972973,-0.13158571061423818,0.2571428571428571,1.7837837837837838,0.32432432432432434,1.3872760007416218e-07,76,1,2000
001,1.0,30,0.016666666666666666,37,1.8918918918918919,0.2972972972972973,-0.08421571041615361,0.22408602150537638,1.7837837837837838,0.32432432432432434,1.5087483973275084e-07,76,1,2000
001,1.0,40,0.0125,37,1.9189189189189189,0.2972972972972973,-0.09991365486616499,0.2512820512820513,1.7837837837837838,0.32432432432432434,6.592648560399539e-07,76,1,2000
001,1.0,50,0.01,37,1.8108108108108107,0.2702702702702703,-0.05160445317616236,0.21150997150997153,1.7837837837837838,0.32432432432432434,1.150757157120097e-06,76,1,2000
