pid,tau,k,l2sp,n_val,set_mae,set_acc,set_qwk,set_macro_f1,base_set_mae,base_set_acc,grad_norm
001,0.005,1,0.0025,37,2.27027027027027,0.16216216216216217,-0.34079403144151366,0.17434654234654234,1.2972972972972974,0.40540540540540543,2.6939947161963573e-08
001,0.005,2,0.00125,37,2.135135135135135,0.1891891891891892,-0.5081681205392545,0.1037037037037037,1.2972972972972974,0.40540540540540543,3.4710723184616654e-08
001,0.005,3,0.0008333333333333334,37,2.1621621621621623,0.1891891891891892,-0.5406790518898141,0.1,1.2972972972972974,0.40540540540540543,9.267021141567966e-07
001,0.005,4,0.000625,37,2.135135135135135,0.1891891891891892,-0.5081681205392545,0.1037037037037037,1.2972972972972974,0.40540540540540543,2.5561428174114553e-06
001,0.005,5,0.0005,37,2.027027027027027,0.21621621621621623,-0.2551847273726138,0.1960474308300395,1.2972972972972974,0.40540540540540543,2.4481641958118416e-06
001,0.005,6,0.0004166666666666667,37,1.972972972972973,0.2702702702702703,-0.10212765957446801,0.22909090909090907,1.2972972972972974,0.40540540540540543,3.2545949579798616e-06
001,0.005,8,0.0003125,37,1.945945945945946,0.2972972972972973,-0.08016271835367283,0.2436531210724759,1.2972972972972974,0.40540540540540543,5.519769729289692e-06
001,0.005,10,0.00025,37,1.972972972972973,0.2702702702702703,-0.10212765957446801,0.22909090909090907,1.2972972972972974,0.40540540540540543,1.2437665645848028e-05
001,0.005,12,0.00020833333333333335,37,1.972972972972973,0.2702702702702703,-0.10212765957446801,0.22909090909090907,1.2972972972972974,0.40540540540540543,2.2214708224055357e-05
001,0.005,14,0.00017857142857142857,37,1.972972972972973,0.2702702702702703,-0.10212765957446801,0.22909090909090907,1.2972972972972974,0.40540540540540543,2.5453038688283414e-05
001,0.005,16,0.00015625,37,1.972972972972973,0.21621621621621623,-0.06674027726659304,0.15602434077079108,1.2972972972972974,0.40540540540540543,3.465932240942493e-05
001,0.005,20,0.000125,37,1.8918918918918919,0.2702702702702703,-0.08324847250509171,0.20275862068965517,1.2972972972972974,0.40540540540540543,3.7701556721003726e-05
001,0.005,25,0.0001,37,1.864864864864865,0.2702702702702703,0.049922369521079646,0.1854020979020979,1.2972972972972974,0.40540540540540543,5.6199452956207097e-05
001,0.005,30,8.333333333333333e-05,37,2.0,0.24324324324324326,0.017481743748616885,0.13721413721413722,1.2972972972972974,0.40540540540540543,6.739804666722193e-05
001,0.005,40,6.25e-05,37,1.945945945945946,0.2702702702702703,0.03830369357045138,0.17230769230769233,1.2972972972972974,0.40540540540540543,0.00011085561709478498
001,0.005,50,5e-05,37,1.4594594594594594,0.3783783783783784,0.3080878915381019,0.2733333333333333,1.2972972972972974,0.40540540540540543,0.0001106835188693367
001,0.005,60,4.1666666666666665e-05,37,1.027027027027027,0.5135135135135135,0.45085410249229907,0.36359649122807014,1.2972972972972974,0.40540540540540543,0.00010138138168258592
001,0.005,75,3.3333333333333335e-05,37,1.7837837837837838,0.35135135135135137,0.012375636981315274,0.24107142857142855,1.2972972972972974,0.40540540540540543,0.00013140487135387957
001,0.01,1,0.005,37,2.3513513513513513,0.08108108108108109,-0.4181184668989548,0.09487179487179487,1.2972972972972974,0.40540540540540543,5.395416025066879e-08
001,0.01,2,0.0025,37,2.135135135135135,0.1891891891891892,-0.5081681205392545,0.1037037037037037,1.2972972972972974,0.40540540540540543,2.1830940610811922e-08
001,0.01,3,0.0016666666666666668,37,2.1621621621621623,0.1891891891891892,-0.5406790518898141,0.1,1.2972972972972974,0.40540540540540543,2.1268034444688055e-08
001,0.01,4,0.00125,37,2.135135135135135,0.1891891891891892,-0.5081681205392545,0.1037037037037037,1.2972972972972974,0.40540540540540543,3.777789814307653e-08
001,0.01,5,0.001,37,2.027027027027027,0.21621621621621623,-0.2551847273726138,0.1960474308300395,1.2972972972972974,0.40540540540540543,4.2729407567776434e-08
001,0.01,6,0.0008333333333333334,37,1.972972972972973,0.2702702702702703,-0.10212765957446801,0.22909090909090907,1.2972972972972974,0.40540540540540543,7.796406720217419e-08
001,0.01,8,0.000625,37,1.972972972972973,0.2702702702702703,-0.10212765957446801,0.22909090909090907,1.2972972972972974,0.40540540540540543,1.7189282175422704e-07
001,0.01,10,0.0005,37,1.972972972972973,0.2702702702702703,-0.10212765957446801,0.22909090909090907,1.2972972972972974,0.40540540540540543,1.271707901651098e-06
001,0.01,12,0.0004166666666666667,37,1.972972972972973,0.2702702702702703,-0.10212765957446801,0.22909090909090907,1.2972972972972974,0.40540540540540543,3.1910124107525917e-06
001,0.01,14,0.00035714285714285714,37,1.945945945945946,0.2702702702702703,-0.08823529411764719,0.2280564263322884,1.2972972972972974,0.40540540540540543,3.442890147198341e-06
001,0.01,16,0.0003125,37,1.972972972972973,0.21621621621621623,-0.06674027726659304,0.15602434077079108,1.2972972972972974,0.40540540540540543,6.832932285760762e-06
001,0.01,20,0.00025,37,1.8918918918918919,0.2702702702702703,-0.08324847250509171,0.20275862068965517,1.2972972972972974,0.40540540540540543,6.936782483535353e-06
