pid,tau,k,l2sp,n_val,set_mae,set_acc,set_qwk,set_macro_f1,base_set_mae,base_set_acc,grad_norm,head_in,embed_fcd,adapt_steps
001,0.005,1,0.0025,37,2.108108108108108,0.2162162162162162,-0.2285714285714286,0.1751724137931034,1.7837837837837838,0.3243243243243243,9.038879215950146e-05,76,1,2000
001,0.005,2,0.00125,37,1.945945945945946,0.2972972972972973,-0.2034124233537724,0.1885057471264367,1.7837837837837838,0.3243243243243243,0.000342276354786,76,1,2000
001,0.005,3,0.0008333333333333,37,1.945945945945946,0.2972972972972973,-0.2034124233537724,0.1885057471264367,1.7837837837837838,0.3243243243243243,0.0004725281905848,76,1,2000
001,0.005,4,0.000625,37,1.8108108108108107,0.3783783783783784,-0.0589453172573377,0.2404040404040404,1.7837837837837838,0.3243243243243243,0.0007055403548292,76,1,2000
001,0.005,5,0.0005,37,1.9189189189189189,0.3243243243243243,-0.0588858791661759,0.2581293706293706,1.7837837837837838,0.3243243243243243,0.0009612137218937,76,1,2000
001,0.005,6,0.0004166666666666,37,1.945945945945946,0.2972972972972973,-0.0468460111317254,0.2272727272727272,1.7837837837837838,0.3243243243243243,0.0008966630557551,76,1,2000
001,0.005,8,0.0003125,37,2.0,0.2432432432432432,-0.0411805078929308,0.1578643578643578,1.7837837837837838,0.3243243243243243,0.0015382450073957,76,1,2000
001,0.005,10,0.00025,37,2.0,0.2432432432432432,-0.0411805078929308,0.1578643578643578,1.7837837837837838,0.3243243243243243,0.0013804455520585,76,1,2000
001,0.005,12,0.0002083333333333,37,1.972972972972973,0.2432432432432432,-0.0271808572424205,0.1586111111111111,1.7837837837837838,0.3243243243243243,0.0013037037570029,76,1,2000
001,0.005,14,0.0001785714285714,37,1.972972972972973,0.2432432432432432,-0.0271808572424205,0.1586111111111111,1.7837837837837838,0.3243243243243243,0.0014079242246225,76,1,2000
001,0.005,16,0.00015625,37,2.0,0.2432432432432432,-0.0327156257149394,0.1578643578643578,1.7837837837837838,0.3243243243243243,0.0016910624690353,76,1,2000
001,0.005,20,0.000125,37,1.837837837837838,0.3243243243243243,-0.023574693288429,0.2417857142857142,1.7837837837837838,0.3243243243243243,0.0026546923909336,76,1,2000
001,0.005,25,0.0001,37,1.972972972972973,0.2432432432432432,-0.2122001370801918,0.1592592592592592,1.7837837837837838,0.3243243243243243,0.0030613776762038,76,1,2000
001,0.005,30,8.333333333333333e-05,37,1.891891891891892,0.2972972972972973,-0.0352692217258405,0.2171561771561772,1.7837837837837838,0.3243243243243243,0.0038788693491369,76,1,2000
001,0.005,40,6.25e-05,37,1.9189189189189189,0.2972972972972973,-0.0321796504225027,0.2191050779286073,1.7837837837837838,0.3243243243243243,0.0044650053605437,76,1,2000
001,0.005,50,5e-05,37,1.864864864864865,0.2702702702702703,0.002354880489815,0.1705627705627705,1.7837837837837838,0.3243243243243243,0.0059666880406439,76,1,2000
001,0.005,60,4.1666666666666665e-05,37,0.6486486486486487,0.5675675675675675,0.7602591792656588,0.4216442816442816,1.7837837837837838,0.3243243243243243,0.0064546419307589,76,1,2000
001,0.005,75,3.3333333333333335e-05,37,1.135135135135135,0.4864864864864865,0.3656027433394883,0.4382892469848992,1.7837837837837838,0.3243243243243243,0.0081491973251104,76,1,2000
001,0.01,1,0.005,37,2.081081081081081,0.2702702702702703,-0.267089779188153,0.2623716153127917,1.7837837837837838,0.3243243243243243,1.2831449566874651e-05,76,1,2000
001,0.01,2,0.0025,37,1.945945945945946,0.2972972972972973,-0.2034124233537724,0.1885057471264367,1.7837837837837838,0.3243243243243243,0.0001746062043821,76,1,2000
001,0.01,3,0.0016666666666666,37,1.945945945945946,0.2972972972972973,-0.2034124233537724,0.1885057471264367,1.7837837837837838,0.3243243243243243,0.0003776516532525,76,1,2000
001,0.01,4,0.00125,37,1.8108108108108107,0.3783783783783784,-0.0589453172573377,0.2404040404040404,1.7837837837837838,0.3243243243243243,0.0005937651148997,76,1,2000
001,0.01,5,0.001,37,1.9189189189189189,0.3243243243243243,-0.0588858791661759,0.2581293706293706,1.7837837837837838,0.3243243243243243,0.000937701202929,76,1,2000
001,0.01,6,0.0008333333333333,37,1.945945945945946,0.2972972972972973,-0.0468460111317254,0.2272727272727272,1.7837837837837838,0.3243243243243243,0.0009199327905662,76,1,2000
001,0.01,8,0.000625,37,2.0,0.2432432432432432,-0.0411805078929308,0.1578643578643578,1.7837837837837838,0.3243243243243243,0.0016906661912798,76,1,2000
001,0.01,10,0.0005,37,2.0,0.2432432432432432,-0.0411805078929308,0.1578643578643578,1.7837837837837838,0.3243243243243243,0.0015044634928926,76,1,2000
001,0.01,12,0.0004166666666666,37,1.972972972972973,0.2432432432432432,-0.0271808572424205,0.1586111111111111,1.7837837837837838,0.3243243243243243,0.0014035206986591,76,1,2000
001,0.01,14,0.0003571428571428,37,1.972972972972973,0.2432432432432432,-0.0271808572424205,0.1586111111111111,1.7837837837837838,0.3243243243243243,0.0015573626151308,76,1,2000
001,0.01,16,0.0003125,37,2.0,0.2432432432432432,-0.0327156257149394,0.1578643578643578,1.7837837837837838,0.3243243243243243,0.0017679800512269,76,1,2000
001,0.01,20,0.00025,37,1.8108108108108107,0.3513513513513513,-0.0264082374318594,0.2652777777777778,1.7837837837837838,0.3243243243243243,0.002329807030037,76,1,2000
001,0.01,25,0.0002,37,2.0,0.2162162162162162,-0.2398771292934933,0.1461538461538461,1.7837837837837838,0.3243243243243243,0.0027603057678788,76,1,2000
001,0.01,30,0.0001666666666666,37,1.891891891891892,0.2972972972972973,-0.0352692217258405,0.2171561771561772,1.7837837837837838,0.3243243243243243,0.0033174364361912,76,1,2000
001,0.01,40,0.000125,37,1.9189189189189189,0.2972972972972973,-0.0321796504225027,0.2191050779286073,1.7837837837837838,0.3243243243243243,0.0039167692884802,76,1,2000
001,0.01,50,0.0001,37,1.837837837837838,0.2972972972972973,0.0135640785781104,0.2342990342990343,1.7837837837837838,0.3243243243243243,0.0052667916752398,76,1,2000
001,0.01,60,8.333333333333333e-05,37,0.6486486486486487,0.5675675675675675,0.7602591792656588,0.4216442816442816,1.7837837837837838,0.3243243243243243,0.0055743046104907,76,1,2000
001,0.01,75,6.666666666666667e-05,37,1.108108108108108,0.5135135135135135,0.3753435414212799,0.4726482213438736,1.7837837837837838,0.3243243243243243,0.0073472335934638,76,1,2000
001,0.02,1,0.01,37,2.135135135135135,0.2162162162162162,-0.3669054642505969,0.2124812834224598,1.7837837837837838,0.3243243243243243,1.7151479880794798e-07,76,1,2000
001,0.02,2,0.005,37,1.945945945945946,0.2972972972972973,-0.2034124233537724,0.1885057471264367,1.7837837837837838,0.3243243243243243,3.285309867351316e-05,76,1,2000
001,0.02,3,0.0033333333333333,37,1.945945945945946,0.2972972972972973,-0.2034124233537724,0.1885057471264367,1.7837837837837838,0.3243243243243243,0.0001930674334289,76,1,2000
001,0.02,4,0.0025,37,1.8108108108108107,0.3783783783783784,-0.0589453172573377,0.2404040404040404,1.7837837837837838,0.3243243243243243,0.0003281696117483,76,1,2000
001,0.02,5,0.002,37,1.9189189189189189,0.3243243243243243,-0.0588858791661759,0.2581293706293706,1.7837837837837838,0.3243243243243243,0.0006648106500506,76,1,2000
001,0.02,6,0.0016666666666666,37,1.945945945945946,0.2972972972972973,-0.0468460111317254,0.2272727272727272,1.7837837837837838,0.3243243243243243,0.0007022673380561,76,1,2000
001,0.02,8,0.00125,37,2.0,0.2432432432432432,-0.0411805078929308,0.1578643578643578,1.7837837837837838,0.3243243243243243,0.0015695883193984,76,1,2000
001,0.02,10,0.001,37,2.0,0.2432432432432432,-0.0411805078929308,0.1578643578643578,1.7837837837837838,0.3243243243243243,0.001387343974784,76,1,2000
001,0.02,12,0.0008333333333333,37,1.972972972972973,0.2432432432432432,-0.0271808572424205,0.1586111111111111,1.7837837837837838,0.3243243243243243,0.0012831828789785,76,1,2000
001,0.02,14,0.0007142857142857,37,1.972972972972973,0.2432432432432432,-0.0271808572424205,0.1586111111111111,1.7837837837837838,0.3243243243243243,0.0015765236457809,76,1,2000
001,0.02,16,0.000625,37,2.0,0.2432432432432432,-0.0327156257149394,0.1578643578643578,1.7837837837837838,0.3243243243243243,0.0018369188765063,76,1,2000
001,0.02,20,0.0005,37,1.8108108108108107,0.3513513513513513,-0.0264082374318594,0.2652777777777778,1.7837837837837838,0.3243243243243243,0.0019362113671377,76,1,2000
001,0.02,25,0.0004,37,1.972972972972973,0.2432432432432432,-0.2122001370801918,0.1592592592592592,1.7837837837837838,0.3243243243243243,0.0023259057197719,76,1,2000
001,0.02,30,0.0003333333333333,37,1.864864864864865,0.3243243243243243,-0.0381200426186814,0.2435786435786435,1.7837837837837838,0.3243243243243243,0.0025852834805846,76,1,2000
001,0.02,40,0.00025,37,1.9189189189189189,0.2972972972972973,-0.0321796504225027,0.2191050779286073,1.7837837837837838,0.3243243243243243,0.0032160005066543,76,1,2000
001,0.02,50,0.0002,37,1.864864864864865,0.2702702702702703,0.0244099021301094,0.1746606334841628,1.7837837837837838,0.3243243243243243,0.0043965610675513,76,1,2000
001,0.02,60,0.0001666666666666,37,0.6486486486486487,0.5675675675675675,0.7602591792656588,0.4216442816442816,1.7837837837837838,0.3243243243243243,0.0043767667375504,76,1,2000
001,0.02,75,0.0001333333333333,37,1.162162162162162,0.4594594594594595,0.3557091585803535,0.3983625070581592,1.7837837837837838,0.3243243243243243,0.006138302385807,76,1,2000
001,0.05,1,0.025,37,2.27027027027027,0.1621621621621621,-0.4986791899031406,0.1433333333333333,1.7837837837837838,0.3243243243243243,2.1955007468932308e-05,76,1,2000
001,0.05,2,0.0125,37,1.945945945945946,0.2972972972972973,-0.2034124233537724,0.1885057471264367,1.7837837837837838,0.3243243243243243,5.333541253094154e-07,76,1,2000
