dropout,lr,window_seconds,loss,fold,val_pids,seed,best_set_mae,smoothed_best_set_mae,best_epoch_smoothed,best_epoch_1se,metrics_epoch,epochs_run,set_acc_at_best,qwk_at_best,val_n,mae_argmax,acc_argmax,mae_median,acc_median,pred_loa0,pred_loa1,pred_loa2,pred_loa3,pred_loa4,const_set_mae,const_loa_mae,const_set_acc,const_loa_acc,lbl_loa0,lbl_loa1,lbl_loa2,lbl_loa3,lbl_loa4,trn_loa0,trn_loa1,trn_loa2,trn_loa3,trn_loa4
0.1,0.001,5.0,corn,0,001|005,2,1.5737704918032787,1.6565573770491802,17,14,17,36,0.2336065573770492,0.12508640268588933,244,1.7704918032786885,0.23770491803278687,1.7131147540983607,0.2336065573770492,84.0,97.0,36.0,7.0,20.0,1.209016393442623,3,0.3770491803278688,4,49,17,48,59,92,463,302,177,119,227
0.1,0.001,5.0,corn,0,001|005,0,1.4836065573770492,1.5557377049180328,12,11,12,39,0.27459016393442626,0.1690945851369916,244,1.5327868852459017,0.29918032786885246,1.5532786885245902,0.27459016393442626,85.0,60.0,62.0,14.0,23.0,1.209016393442623,3,0.3770491803278688,4,49,17,48,59,92,463,302,177,119,227
0.1,0.001,5.0,corn,0,001|005,3,1.4754098360655739,1.5278688524590165,19,18,19,39,0.27049180327868855,0.12197217895697943,244,1.5614754098360655,0.3073770491803279,1.5819672131147542,0.27049180327868855,83.0,54.0,83.0,12.0,12.0,1.209016393442623,3,0.3770491803278688,4,49,17,48,59,92,463,302,177,119,227
0.1,0.001,5.0,corn,0,001|005,1,1.2950819672131149,1.4942622950819673,26,25,26,48,0.27049180327868855,0.08966814722607297,244,1.528688524590164,0.30327868852459017,1.5614754098360655,0.27049180327868855,71.0,43.0,73.0,35.0,22.0,1.209016393442623,3,0.3770491803278688,4,49,17,48,59,92,463,302,177,119,227
0.1,0.001,5.0,corn,1,002|006,0,1.1761904761904762,1.5438095238095237,3,3,3,24,0.23809523809523808,0.00721216402096736,210,1.6238095238095238,0.3142857142857143,1.4428571428571428,0.23809523809523808,37.0,68.0,48.0,20.0,37.0,1.1238095238095238,1,0.46190476190476193,0,97,35,53,57,7,415,284,172,121,312
0.1,0.001,5.0,corn,1,002|006,1,1.180952380952381,1.6600000000000001,3,3,3,24,0.19047619047619047,-0.251621271076524,210,1.776190476190476,0.26666666666666666,1.7285714285714286,0.19047619047619047,23.0,69.0,48.0,34.0,36.0,1.1238095238095238,1,0.46190476190476193,0,97,35,53,57,7,415,284,172,121,312
0.1,0.001,5.0,corn,1,002|006,2,1.1952380952380952,1.5019047619047619,3,3,3,25,0.21904761904761905,-0.09347818369013372,210,1.9666666666666666,0.21904761904761905,1.5809523809523809,0.21904761904761905,12.0,31.0,85.0,40.0,42.0,1.1238095238095238,1,0.46190476190476193,0,97,35,53,57,7,415,284,172,121,312
0.1,0.001,5.0,corn,0,001|005,4,1.4221311475409837,1.544262295081967,16,16,16,39,0.27049180327868855,0.05524865847263427,244,1.5901639344262295,0.28688524590163933,1.5737704918032787,0.27049180327868855,60.0,74.0,70.0,21.0,19.0,1.209016393442623,3,0.3770491803278688,4,49,17,48,59,92,463,302,177,119,227
0.1,0.001,5.0,corn,1,002|006,4,1.2714285714285714,1.6066666666666667,3,3,3,24,0.24761904761904763,-0.12293104034258917,210,2.0285714285714285,0.26666666666666666,1.6095238095238096,0.24761904761904763,13.0,56.0,60.0,29.0,52.0,1.1238095238095238,1,0.46190476190476193,0,97,35,53,57,7,415,284,172,121,312
0.1,0.001,5.0,corn,1,002|006,3,1.1142857142857143,1.6771428571428573,8,5,8,28,0.24285714285714285,-0.17660516964416106,210,1.9095238095238096,0.23333333333333334,1.8238095238095238,0.24285714285714285,55.0,29.0,38.0,27.0,61.0,1.1238095238095238,1,0.46190476190476193,0,97,35,53,57,7,415,284,172,121,312
