dropout,lr,window_seconds,loss,fold,val_pids,seed,best_set_mae,smoothed_best_set_mae,best_epoch_smoothed,best_epoch_1se,metrics_epoch,epochs_run,set_acc_at_best,qwk_at_best,val_n,mae_argmax,acc_argmax,mae_median,acc_median,pred_loa0,pred_loa1,pred_loa2,pred_loa3,pred_loa4,const_set_mae,const_loa_mae,const_set_acc,const_loa_acc,lbl_loa0,lbl_loa1,lbl_loa2,lbl_loa3,lbl_loa4,trn_loa0,trn_loa1,trn_loa2,trn_loa3,trn_loa4
0.1,0.001,20.0,corn,0,001|005,0,1.5901639344262295,1.7229508196721313,6,5,6,27,0.26229508196721313,0.0262842054728758,244,1.6844262295081966,0.29918032786885246,1.5901639344262295,0.26229508196721313,59.0,71.0,90.0,21.0,3.0,1.209016393442623,3,0.3770491803278688,4,49,17,48,59,92,463,302,177,119,227
0.1,0.001,20.0,corn,0,001|005,3,1.360655737704918,1.5024590163934426,20,10,20,43,0.2786885245901639,0.12843460511854288,244,1.5368852459016393,0.2827868852459016,1.528688524590164,0.2786885245901639,56.0,91.0,58.0,23.0,16.0,1.209016393442623,3,0.3770491803278688,4,49,17,48,59,92,463,302,177,119,227
0.1,0.001,20.0,corn,0,001|005,4,1.4959016393442623,1.568032786885246,10,8,10,36,0.29508196721311475,0.07332033937170368,244,1.5532786885245902,0.319672131147541,1.5327868852459017,0.29508196721311475,61.0,69.0,68.0,25.0,21.0,1.209016393442623,3,0.3770491803278688,4,49,17,48,59,92,463,302,177,119,227
0.1,0.001,20.0,corn,0,001|005,2,1.6024590163934427,1.6704918032786886,44,42,44,66,0.26639344262295084,0.022244842562432088,244,1.6885245901639345,0.27049180327868855,1.6926229508196722,0.26639344262295084,74.0,76.0,64.0,21.0,9.0,1.209016393442623,3,0.3770491803278688,4,49,17,48,59,92,463,302,177,119,227
0.1,0.001,20.0,corn,0,001|005,1,1.4221311475409837,1.5311475409836066,62,25,62,67,0.30327868852459017,0.0827366746221162,244,1.6147540983606556,0.3073770491803279,1.610655737704918,0.30327868852459017,87.0,55.0,69.0,20.0,13.0,1.209016393442623,3,0.3770491803278688,4,49,17,48,59,92,463,302,177,119,227
0.1,0.001,20.0,corn,1,002|006,0,1.1761904761904762,1.4323809523809525,3,3,3,24,0.2857142857142857,0.07841608854938031,210,1.380952380952381,0.40476190476190477,1.223809523809524,0.2857142857142857,47.0,79.0,56.0,13.0,15.0,1.1238095238095238,1,0.46190476190476193,0,97,35,53,57,7,415,284,172,121,312
0.1,0.001,20.0,corn,1,002|006,3,1.1666666666666667,1.6838095238095239,3,3,3,24,0.2714285714285714,-0.11917098445595853,210,1.6571428571428573,0.3523809523809524,1.5142857142857142,0.2714285714285714,24.0,65.0,59.0,23.0,39.0,1.1238095238095238,1,0.46190476190476193,0,97,35,53,57,7,415,284,172,121,312
0.1,0.001,20.0,corn,1,002|006,2,1.1857142857142857,1.476190476190476,3,3,3,25,0.22380952380952382,-0.10957004160887651,210,2.066666666666667,0.20952380952380953,1.5333333333333334,0.22380952380952382,13.0,67.0,58.0,44.0,28.0,1.1238095238095238,1,0.46190476190476193,0,97,35,53,57,7,415,284,172,121,312
0.1,0.001,20.0,corn,1,002|006,1,1.1047619047619048,1.7399999999999998,3,3,3,28,0.24761904761904763,-0.18405394684648968,210,1.8857142857142857,0.2714285714285714,1.6904761904761905,0.24761904761904763,12.0,56.0,50.0,49.0,43.0,1.1238095238095238,1,0.46190476190476193,0,97,35,53,57,7,415,284,172,121,312
0.1,0.001,20.0,corn,1,002|006,4,1.2809523809523808,1.7504761904761907,3,3,3,31,0.19523809523809524,-0.13856103476152004,210,2.0095238095238095,0.21428571428571427,1.7047619047619047,0.19523809523809524,13.0,69.0,47.0,22.0,59.0,1.1238095238095238,1,0.46190476190476193,0,97,35,53,57,7,415,284,172,121,312
0.1,0.001,20.0,corn,2,003|007,1,1.2674418604651163,1.5023255813953489,17,15,17,25,0.26744186046511625,0.20484459472367078,258,1.5,0.26744186046511625,1.4651162790697674,0.26744186046511625,66.0,40.0,84.0,19.0,49.0,1.4224806201550388,1,0.32170542635658916,4,74,72,14,15,83,438,247,211,163,236
0.1,0.001,20.0,corn,2,003|007,2,1.4612403100775193,1.6271317829457366,6,6,6,29,0.2596899224806202,0.10229481984846556,258,1.6744186046511629,0.2713178294573643,1.6085271317829457,0.2596899224806202,91.0,45.0,51.0,31.0,40.0,1.4224806201550388,1,0.32170542635658916,4,74,72,14,15,83,438,247,211,163,236
0.1,0.001,20.0,corn,2,003|007,3,1.5387596899224807,1.6,8,7,8,27,0.27906976744186046,0.13794825322261484,258,1.565891472868217,0.31007751937984496,1.550387596899225,0.27906976744186046,80.0,57.0,45.0,36.0,40.0,1.4224806201550388,1,0.32170542635658916,4,74,72,14,15,83,438,247,211,163,236
0.1,0.001,20.0,corn,2,003|007,0,1.441860465116279,1.5217054263565892,25,23,25,33,0.313953488372093,0.24519429238086687,258,1.4573643410852712,0.32170542635658916,1.449612403100775,0.313953488372093,62.0,42.0,52.0,39.0,63.0,1.4224806201550388,1,0.32170542635658916,4,74,72,14,15,83,438,247,211,163,236
0.1,0.001,20.0,corn,3,004|008,2,1.075,1.3841666666666668,4,3,4,25,0.35833333333333334,0.016081108666560873,240,1.325,0.3333333333333333,1.2041666666666666,0.35833333333333334,79.0,72.0,34.0,17.0,38.0,0.5375,1,0.4708333333333333,0,113,111,42,1,0,399,208,183,177,319
0.1,0.001,20.0,corn,2,003|007,4,1.2015503875968991,1.4031007751937983,15,13,15,36,0.3682170542635659,0.41420791819152847,258,1.178294573643411,0.40310077519379844,1.2015503875968991,0.3682170542635659,84.0,47.0,50.0,18.0,59.0,1.4224806201550388,1,0.32170542635658916,4,74,72,14,15,83,438,247,211,163,236
0.1,0.001,20.0,corn,3,004|008,1,1.0916666666666666,1.3341666666666665,9,8,9,31,0.275,0.03382331953760531,240,1.2958333333333334,0.29583333333333334,1.2458333333333333,0.275,72.0,47.0,74.0,19.0,28.0,0.5375,1,0.4708333333333333,0,113,111,42,1,0,399,208,183,177,319
0.1,0.001,20.0,corn,3,004|008,0,0.7666666666666667,1.4100000000000001,27,25,27,48,0.3333333333333333,0.07212416884853734,240,1.3541666666666667,0.3333333333333333,1.3291666666666666,0.3333333333333333,66.0,37.0,68.0,27.0,42.0,0.5375,1,0.4708333333333333,0,113,111,42,1,0,399,208,183,177,319
0.1,0.001,20.0,corn,3,004|008,4,1.0666666666666667,1.6608333333333334,20,3,20,24,0.24583333333333332,0.023375142531356863,240,1.7041666666666666,0.24166666666666667,1.6916666666666667,0.24583333333333332,48.0,40.0,54.0,28.0,70.0,0.5375,1,0.4708333333333333,0,113,111,42,1,0,399,208,183,177,319
0.1,0.001,20.0,corn,4,009|011,0,1.024,1.0664000000000002,6,5,6,26,0.46,0.5166717228825948,250,1.132,0.516,1.084,0.46,92.0,63.0,20.0,18.0,57.0,1.468,3,0.368,4,79,43,11,45,92,433,276,214,133,227
0.1,0.001,20.0,corn,4,009|011,1,1.244,1.2952,9,7,9,32,0.4,0.3661285079640264,250,1.384,0.476,1.32,0.4,114.0,49.0,24.0,29.0,34.0,1.468,3,0.368,4,79,43,11,45,92,433,276,214,133,227
0.1,0.001,20.0,corn,4,009|011,2,1.1,1.2272,8,6,8,34,0.36,0.24552429667519182,250,1.48,0.408,1.404,0.36,70.0,41.0,47.0,23.0,69.0,1.468,3,0.368,4,79,43,11,45,92,433,276,214,133,227
0.1,0.001,20.0,corn,4,009|011,3,1.084,1.1472,11,8,11,30,0.44,0.40470558551739355,250,1.248,0.488,1.256,0.44,104.0,39.0,25.0,13.0,69.0,1.468,3,0.368,4,79,43,11,45,92,433,276,214,133,227
0.1,0.001,20.0,corn,3,004|008,3,1.1375,1.4258333333333333,50,46,50,66,0.3125,0.04532902522871152,240,1.3666666666666667,0.31666666666666665,1.3708333333333333,0.3125,64.0,57.0,46.0,28.0,45.0,0.5375,1,0.4708333333333333,0,113,111,42,1,0,399,208,183,177,319
0.1,0.001,20.0,corn,4,009|011,4,1.108,1.2048,13,11,13,34,0.472,0.4712488946215241,250,1.16,0.472,1.108,0.472,77.0,65.0,18.0,17.0,73.0,1.468,3,0.368,4,79,43,11,45,92,433,276,214,133,227
0.1,0.001,20.0,corn,5,010|012,1,1.3032786885245902,1.7737704918032786,3,3,3,35,0.1885245901639344,-0.4082470603271984,244,2.0942622950819674,0.2581967213114754,1.9631147540983607,0.1885245901639344,36.0,69.0,59.0,36.0,44.0,1.2049180327868851,1,0.4098360655737705,0,100,41,57,1,45,412,278,168,177,274
0.1,0.001,20.0,corn,5,010|012,2,1.3032786885245902,1.7147540983606557,23,8,23,35,0.3155737704918033,-0.22314550198807148,244,1.7131147540983607,0.319672131147541,1.6844262295081966,0.3155737704918033,94.0,40.0,58.0,9.0,43.0,1.2049180327868851,1,0.4098360655737705,0,100,41,57,1,45,412,278,168,177,274
0.1,0.001,20.0,corn,5,010|012,3,1.2950819672131149,1.6073770491803276,5,3,5,24,0.2336065573770492,-0.14075228447970511,244,1.721311475409836,0.29918032786885246,1.5737704918032787,0.2336065573770492,70.0,69.0,48.0,37.0,20.0,1.2049180327868851,1,0.4098360655737705,0,100,41,57,1,45,412,278,168,177,274
0.1,0.001,20.0,corn,5,010|012,0,1.3524590163934427,1.7934426229508198,3,3,3,46,0.2459016393442623,-0.3564702634726866,244,1.9180327868852458,0.2827868852459016,1.8688524590163935,0.2459016393442623,100.0,41.0,49.0,11.0,43.0,1.2049180327868851,1,0.4098360655737705,0,100,41,57,1,45,412,278,168,177,274
0.1,0.001,20.0,corn,5,010|012,4,1.360655737704918,1.7188524590163934,7,3,7,26,0.2786885245901639,-0.27483538505582583,244,1.7008196721311475,0.3319672131147541,1.6311475409836065,0.2786885245901639,72.0,82.0,43.0,24.0,23.0,1.2049180327868851,1,0.4098360655737705,0,100,41,57,1,45,412,278,168,177,274
0.1,0.002,20.0,corn,0,001|005,1,1.360655737704918,1.5852459016393443,7,6,7,29,0.26639344262295084,0.09631380450506288,244,1.7172131147540983,0.32786885245901637,1.651639344262295,0.26639344262295084,81.0,97.0,54.0,7.0,5.0,1.209016393442623,3,0.3770491803278688,4,49,17,48,59,92,463,302,177,119,227
