epoch,set_acc,macro_f1,set_mae,qwk,lr,val_n,const_set_mae,const_loa_mae,const_set_acc,const_loa_acc,pdconst_set_mae,pdconst_set_acc,pdconst_oracle_set_mae,pdconst_n_drivers,mae_argmax,acc_argmax,mae_median,acc_median,pred_loa0,pred_loa1,pred_loa2,pred_loa3,pred_loa4,init_set_mae,init_set_acc,selectable
0,0.18339100346020762,0.10101966928287713,1.3840830449826989,0.0411566719698121,0.0003378995433789954,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.6055363321799307,0.3737024221453287,1.3840830449826989,0.18339100346020762,5,205,79,0,0,1.491349480968858,0.356401384083045,0
1,0.27335640138408307,0.19090535608182665,1.2802768166089966,0.2275822667603543,0.0006712328767123288,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.4567474048442905,0.42214532871972316,1.2802768166089966,0.27335640138408307,71,145,56,17,0,1.491349480968858,0.356401384083045,0
2,0.2698961937716263,0.2675454771910414,1.2387543252595157,0.29226590676343556,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.3460207612456747,0.4429065743944637,1.2387543252595157,0.2698961937716263,32,80,84,81,12,1.491349480968858,0.356401384083045,0
3,0.356401384083045,0.36129229432065235,1.1176470588235294,0.39963455943328596,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.221453287197232,0.45674740484429066,1.1176470588235294,0.356401384083045,31,72,92,41,53,1.491349480968858,0.356401384083045,1
4,0.356401384083045,0.35017004132921287,1.1176470588235294,0.39322931318868426,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1245674740484428,0.4532871972318339,1.1176470588235294,0.356401384083045,37,99,55,72,26,1.491349480968858,0.356401384083045,1
5,0.4359861591695502,0.44189299005088484,1.0761245674740485,0.4120078502182475,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.193771626297578,0.4913494809688581,1.0761245674740485,0.4359861591695502,64,69,51,53,52,1.491349480968858,0.356401384083045,1
6,0.4359861591695502,0.44418661001045956,0.9446366782006921,0.5235947599644293,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.0034602076124568,0.4913494809688581,0.9446366782006921,0.4359861591695502,54,91,44,51,49,1.491349480968858,0.356401384083045,1
7,0.4982698961937716,0.5006646350027599,0.8546712802768166,0.5683532085974141,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,0.9238754325259516,0.5397923875432526,0.8546712802768166,0.4982698961937716,69,88,39,46,47,1.491349480968858,0.356401384083045,1
8,0.49480968858131485,0.4548952033997594,0.9653979238754326,0.513121277475705,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,0.986159169550173,0.532871972318339,0.9653979238754326,0.49480968858131485,121,52,29,31,56,1.491349480968858,0.356401384083045,1
9,0.4429065743944637,0.42618178754174707,1.0934256055363323,0.4312008268263616,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.179930795847751,0.47750865051903113,1.0934256055363323,0.4429065743944637,71,67,41,50,60,1.491349480968858,0.356401384083045,1
10,0.5121107266435986,0.5162123908295679,1.027681660899654,0.4304122667162369,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1280276816608996,0.5121107266435986,1.027681660899654,0.5121107266435986,96,64,32,36,61,1.491349480968858,0.356401384083045,1
11,0.5190311418685121,0.4926496508806874,0.8754325259515571,0.5746796860697618,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,0.9204152249134948,0.5155709342560554,0.8754325259515571,0.5190311418685121,92,54,44,34,65,1.491349480968858,0.356401384083045,1
12,0.5397923875432526,0.5179211505450556,0.8685121107266436,0.5672896099198184,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,0.903114186851211,0.5709342560553633,0.8685121107266436,0.5397923875432526,86,57,40,43,63,1.491349480968858,0.356401384083045,1
13,0.48788927335640137,0.472800394419567,1.0380622837370241,0.46612466124661245,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.0588235294117647,0.5121107266435986,1.0380622837370241,0.48788927335640137,66,70,31,42,80,1.491349480968858,0.356401384083045,1
14,0.45674740484429066,0.4564713877514296,1.0934256055363323,0.39747808394664796,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1176470588235294,0.4671280276816609,1.0934256055363323,0.45674740484429066,56,61,52,58,62,1.491349480968858,0.356401384083045,1
15,0.4809688581314879,0.4629124423963134,1.1038062283737025,0.42562179189376004,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1349480968858132,0.4913494809688581,1.1038062283737025,0.4809688581314879,69,42,43,48,87,1.491349480968858,0.356401384083045,1
16,0.4913494809688581,0.4713249722952474,1.1038062283737025,0.4139153054311202,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1176470588235294,0.4982698961937716,1.1038062283737025,0.4913494809688581,83,52,30,43,81,1.491349480968858,0.356401384083045,1
17,0.4602076124567474,0.4374756889214435,1.0761245674740485,0.44506635413337114,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1141868512110726,0.4671280276816609,1.0761245674740485,0.4602076124567474,87,50,41,46,65,1.491349480968858,0.356401384083045,1
18,0.4809688581314879,0.4708551426359646,1.055363321799308,0.42045966109202615,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.0242214532871972,0.5121107266435986,1.055363321799308,0.4809688581314879,71,64,45,38,71,1.491349480968858,0.356401384083045,1
19,0.46366782006920415,0.42750197692227526,1.1038062283737025,0.4495020399554439,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1314878892733564,0.4671280276816609,1.1038062283737025,0.46366782006920415,97,42,26,41,83,1.491349480968858,0.356401384083045,1
20,0.44982698961937717,0.41897438008296073,1.1384083044982698,0.4139385586386265,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1418685121107266,0.46366782006920415,1.1384083044982698,0.44982698961937717,68,46,44,39,92,1.491349480968858,0.356401384083045,1
21,0.47750865051903113,0.4629096785973529,1.0934256055363323,0.412289166835349,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1141868512110726,0.4913494809688581,1.0934256055363323,0.47750865051903113,93,62,33,35,66,1.491349480968858,0.356401384083045,1
22,0.4982698961937716,0.48383756502767117,1.0173010380622838,0.45148115224755536,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.0346020761245676,0.4913494809688581,1.0173010380622838,0.4982698961937716,99,62,40,28,60,1.491349480968858,0.356401384083045,1
23,0.48788927335640137,0.47014056523729303,1.0726643598615917,0.44734092808604964,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.0761245674740485,0.4982698961937716,1.0726643598615917,0.48788927335640137,75,51,38,40,85,1.491349480968858,0.356401384083045,1
24,0.5294117647058824,0.5077106468410817,0.9619377162629758,0.5093514796293641,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,0.9757785467128027,0.5467128027681661,0.9619377162629758,0.5294117647058824,92,41,39,48,69,1.491349480968858,0.356401384083045,1
25,0.5190311418685121,0.5039938752289504,1.0380622837370241,0.45734377919668934,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.041522491349481,0.532871972318339,1.0380622837370241,0.5190311418685121,81,51,32,46,79,1.491349480968858,0.356401384083045,1
26,0.5086505190311419,0.4800810661067857,0.9965397923875432,0.502865472191792,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.0207612456747406,0.5121107266435986,0.9965397923875432,0.5086505190311419,79,62,28,35,85,1.491349480968858,0.356401384083045,1
27,0.4809688581314879,0.4621003238567498,1.0519031141868511,0.4610913909792228,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.027681660899654,0.49480968858131485,1.0519031141868511,0.4809688581314879,67,59,38,50,75,1.491349480968858,0.356401384083045,1
