epoch,set_acc,macro_f1,set_mae,qwk,lr,val_n,const_set_mae,const_loa_mae,const_set_acc,const_loa_acc,pdconst_set_mae,pdconst_set_acc,pdconst_oracle_set_mae,pdconst_n_drivers,mae_argmax,acc_argmax,mae_median,acc_median,pred_loa0,pred_loa1,pred_loa2,pred_loa3,pred_loa4,init_set_mae,init_set_acc,selectable
0,0.35986159169550175,0.20299003322259135,1.6782006920415224,0.1379295621847484,0.0003378995433789954,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.6782006920415224,0.35986159169550175,1.42560553633218,0.1314878892733564,164,16,3,3,103,1.9065743944636677,0.16262975778546712,0
1,0.3875432525951557,0.26050570476550233,1.5536332179930796,0.16063274250361737,0.0006712328767123288,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.5536332179930796,0.3875432525951557,1.3771626297577855,0.18685121107266436,177,20,18,3,71,1.9065743944636677,0.16262975778546712,0
2,0.43944636678200694,0.3512589581355393,1.3494809688581315,0.2679015164153943,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.3494809688581315,0.43944636678200694,1.221453287197232,0.3079584775086505,164,35,15,19,56,1.9065743944636677,0.16262975778546712,0
3,0.4532871972318339,0.36855851702355624,1.2698961937716262,0.35785400879204177,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.2698961937716262,0.4532871972318339,1.1245674740484428,0.36678200692041524,124,24,28,19,94,1.9065743944636677,0.16262975778546712,1
4,0.4671280276816609,0.43439337062983074,1.1730103806228374,0.37919972912420485,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1730103806228374,0.4671280276816609,1.1141868512110726,0.3806228373702422,90,57,20,32,90,1.9065743944636677,0.16262975778546712,1
5,0.5017301038062284,0.45739175062858956,1.1107266435986158,0.40414500827616706,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1107266435986158,0.5017301038062284,0.9757785467128027,0.4463667820069204,138,51,11,30,59,1.9065743944636677,0.16262975778546712,1
6,0.5259515570934256,0.48143354691152024,1.0519031141868511,0.4089897331738127,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.0519031141868511,0.5259515570934256,0.986159169550173,0.45674740484429066,136,46,32,23,52,1.9065743944636677,0.16262975778546712,1
7,0.4982698961937716,0.46905715911927093,1.0865051903114187,0.4388299415684995,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.0865051903114187,0.4982698961937716,1.0588235294117647,0.45674740484429066,90,41,26,52,80,1.9065743944636677,0.16262975778546712,1
8,0.5224913494809689,0.46187351443940833,1.0899653979238755,0.4002781647328755,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.0899653979238755,0.5224913494809689,1.065743944636678,0.4809688581314879,128,31,38,20,72,1.9065743944636677,0.16262975778546712,1
9,0.49480968858131485,0.46218529248045276,1.0380622837370241,0.45128768584327106,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.0380622837370241,0.49480968858131485,0.9930795847750865,0.4809688581314879,96,58,40,19,76,1.9065743944636677,0.16262975778546712,1
10,0.5051903114186851,0.46543317748242663,1.1211072664359862,0.39010463707456766,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1211072664359862,0.5051903114186851,1.0380622837370241,0.4844290657439446,128,43,17,32,69,1.9065743944636677,0.16262975778546712,1
11,0.5224913494809689,0.4996166475695647,1.1003460207612457,0.4041002337737386,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1003460207612457,0.5224913494809689,1.0761245674740485,0.47750865051903113,70,34,49,35,101,1.9065743944636677,0.16262975778546712,1
12,0.47750865051903113,0.408725480707188,1.1972318339100345,0.3773262601291031,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1972318339100345,0.47750865051903113,1.1557093425605536,0.43252595155709345,109,32,36,21,91,1.9065743944636677,0.16262975778546712,1
13,0.4913494809688581,0.46066899978137765,1.179930795847751,0.32551118748766295,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.179930795847751,0.4913494809688581,1.1141868512110726,0.47058823529411764,128,38,38,30,55,1.9065743944636677,0.16262975778546712,1
14,0.48788927335640137,0.4468218801285163,1.1764705882352942,0.3762944638744349,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1764705882352942,0.48788927335640137,1.1418685121107266,0.46366782006920415,102,42,18,36,91,1.9065743944636677,0.16262975778546712,1
15,0.48788927335640137,0.45134740970320486,1.0449826989619377,0.4690166344016634,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.0449826989619377,0.48788927335640137,0.9896193771626297,0.4844290657439446,104,48,26,37,74,1.9065743944636677,0.16262975778546712,1
16,0.4671280276816609,0.45316670811133986,1.1695501730103806,0.3591524756418205,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1695501730103806,0.4671280276816609,1.1038062283737025,0.4740484429065744,80,54,38,31,86,1.9065743944636677,0.16262975778546712,1
17,0.4844290657439446,0.47980662025905757,1.2941176470588236,0.27189142618442574,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.2941176470588236,0.4844290657439446,1.2698961937716262,0.46366782006920415,80,36,36,42,95,1.9065743944636677,0.16262975778546712,1
18,0.5017301038062284,0.434505838990233,1.1245674740484428,0.3981127168703793,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1245674740484428,0.5017301038062284,1.0934256055363323,0.47058823529411764,116,50,27,12,84,1.9065743944636677,0.16262975778546712,1
19,0.4809688581314879,0.4453391060706361,1.2422145328719723,0.31930610871520604,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.2422145328719723,0.4809688581314879,1.2249134948096885,0.4740484429065744,126,32,26,33,72,1.9065743944636677,0.16262975778546712,1
20,0.5051903114186851,0.49170937393231834,1.1591695501730104,0.3523703564956592,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1591695501730104,0.5051903114186851,1.1557093425605536,0.49480968858131485,74,35,50,42,88,1.9065743944636677,0.16262975778546712,1
21,0.4844290657439446,0.4337700317191123,1.0968858131487889,0.404049573638142,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.0968858131487889,0.4844290657439446,1.1072664359861593,0.46366782006920415,90,50,48,21,80,1.9065743944636677,0.16262975778546712,1
22,0.5501730103806228,0.49592596189097005,0.9653979238754326,0.5075771101838565,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,0.9653979238754326,0.5501730103806228,0.9204152249134948,0.5397923875432526,114,44,30,22,79,1.9065743944636677,0.16262975778546712,1
23,0.5017301038062284,0.47062765723678784,1.1038062283737025,0.4036498766123139,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1038062283737025,0.5017301038062284,1.0865051903114187,0.47750865051903113,99,38,39,30,83,1.9065743944636677,0.16262975778546712,1
24,0.4913494809688581,0.4218839780065169,1.065743944636678,0.4657099002962307,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.065743944636678,0.4913494809688581,1.0242214532871972,0.4982698961937716,98,53,27,14,97,1.9065743944636677,0.16262975778546712,1
25,0.5017301038062284,0.4810581785929534,1.0311418685121108,0.45096047588817567,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.0311418685121108,0.5017301038062284,1.027681660899654,0.4913494809688581,91,54,36,39,69,1.9065743944636677,0.16262975778546712,1
