epoch,set_acc,macro_f1,set_mae,qwk,lr,val_n,const_set_mae,const_loa_mae,const_set_acc,const_loa_acc,pdconst_set_mae,pdconst_set_acc,pdconst_oracle_set_mae,pdconst_n_drivers,mae_argmax,acc_argmax,mae_median,acc_median,pred_loa0,pred_loa1,pred_loa2,pred_loa3,pred_loa4,init_set_mae,init_set_acc,selectable
0,0.15916955017301038,0.09234459052501602,1.4740484429065743,-0.052333555232954465,0.0003378995433789954,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.7612456747404843,0.33217993079584773,1.4740484429065743,0.15916955017301038,4,198,87,0,0,1.5536332179930796,0.25951557093425603,0
1,0.17647058823529413,0.11996334739160508,1.3667820069204153,0.13440699795666322,0.0006712328767123288,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.4705882352941178,0.3771626297577855,1.3667820069204153,0.17647058823529413,11,158,89,31,0,1.5536332179930796,0.25951557093425603,0
2,0.28719723183391005,0.2870965468639887,1.2491349480968859,0.29730042662344014,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.42560553633218,0.43944636678200694,1.2491349480968859,0.28719723183391005,8,63,99,77,42,1.5536332179930796,0.25951557093425603,0
3,0.3944636678200692,0.374962525268232,1.0,0.4744429140706089,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.259515570934256,0.46366782006920415,1.0,0.3944636678200692,36,97,80,24,52,1.5536332179930796,0.25951557093425603,1
4,0.38408304498269896,0.38345420470621,1.0069204152249136,0.48367204919546103,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.0449826989619377,0.4844290657439446,1.0069204152249136,0.38408304498269896,37,100,65,43,44,1.5536332179930796,0.25951557093425603,1
5,0.4463667820069204,0.4457940905466854,0.9584775086505191,0.5109906109567695,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,0.9653979238754326,0.5259515570934256,0.9584775086505191,0.4463667820069204,67,70,46,62,44,1.5536332179930796,0.25951557093425603,1
6,0.4186851211072664,0.3861072395439007,0.9757785467128027,0.511130141512177,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,0.9377162629757786,0.5501730103806228,0.9757785467128027,0.4186851211072664,61,66,78,29,55,1.5536332179930796,0.25951557093425603,1
7,0.5121107266435986,0.49139985642498196,0.8685121107266436,0.5434691432747583,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,0.9273356401384083,0.5709342560553633,0.8685121107266436,0.5121107266435986,92,62,56,27,52,1.5536332179930796,0.25951557093425603,1
8,0.48788927335640137,0.4780069068589067,0.9065743944636678,0.54095756750624,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,0.9307958477508651,0.5259515570934256,0.9065743944636678,0.48788927335640137,63,77,54,29,66,1.5536332179930796,0.25951557093425603,1
9,0.45674740484429066,0.44260092140164736,0.986159169550173,0.500577293136626,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,0.9757785467128027,0.5086505190311419,0.986159169550173,0.45674740484429066,67,65,49,51,57,1.5536332179930796,0.25951557093425603,1
10,0.4844290657439446,0.47543601739055247,0.9688581314878892,0.5058738357585155,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,0.9584775086505191,0.5259515570934256,0.9688581314878892,0.4844290657439446,48,56,71,50,64,1.5536332179930796,0.25951557093425603,1
11,0.5294117647058824,0.5002405742079808,0.8235294117647058,0.5841624165373149,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,0.8615916955017301,0.5536332179930796,0.8235294117647058,0.5294117647058824,88,70,45,27,59,1.5536332179930796,0.25951557093425603,1
