epoch,set_acc,macro_f1,set_mae,qwk,lr,val_n,const_set_mae,const_loa_mae,const_set_acc,const_loa_acc,pdconst_set_mae,pdconst_set_acc,pdconst_oracle_set_mae,pdconst_n_drivers,mae_argmax,acc_argmax,mae_median,acc_median,pred_loa0,pred_loa1,pred_loa2,pred_loa3,pred_loa4,init_set_mae,init_set_acc,selectable
0,0.4290657439446367,0.31169775120927024,1.411764705882353,0.2673249455422597,0.0003378995433789954,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.411764705882353,0.4290657439446367,1.2560553633217992,0.1903114186851211,177,14,8,15,75,1.5951557093425606,0.20761245674740483,0
1,0.49480968858131485,0.40468457413333764,1.2283737024221453,0.329681370715179,0.0006712328767123288,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.2283737024221453,0.49480968858131485,1.1107266435986158,0.3494809688581315,173,16,30,3,67,1.5951557093425606,0.20761245674740483,0
2,0.3875432525951557,0.3550974759481823,1.4290657439446366,0.2841981852395543,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.4290657439446366,0.3875432525951557,1.231833910034602,0.35294117647058826,75,45,17,12,140,1.5951557093425606,0.20761245674740483,0
3,0.44982698961937717,0.41017007435767905,1.231833910034602,0.3121756558462473,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.231833910034602,0.44982698961937717,1.069204152249135,0.39792387543252594,95,44,52,7,91,1.5951557093425606,0.20761245674740483,1
4,0.5467128027681661,0.5328999779535184,0.986159169550173,0.4447937406126655,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,0.986159169550173,0.5467128027681661,0.9550173010380623,0.43944636678200694,114,50,39,22,64,1.5951557093425606,0.20761245674740483,1
5,0.5259515570934256,0.5065281519148617,1.1072664359861593,0.37935465320022654,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1072664359861593,0.5259515570934256,1.0795847750865053,0.43252595155709345,104,23,41,49,72,1.5951557093425606,0.20761245674740483,1
6,0.5121107266435986,0.47894137456863073,1.0346020761245676,0.44761858980962,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.0346020761245676,0.5121107266435986,1.0034602076124568,0.44982698961937717,120,37,39,30,63,1.5951557093425606,0.20761245674740483,1
7,0.5086505190311419,0.5091520801623025,1.0795847750865053,0.4197515372066759,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.0795847750865053,0.5086505190311419,1.027681660899654,0.4809688581314879,72,55,29,44,89,1.5951557093425606,0.20761245674740483,1
8,0.4532871972318339,0.4403345179969221,1.1903114186851211,0.3690155174509425,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1903114186851211,0.4532871972318339,1.1038062283737025,0.4359861591695502,78,68,18,40,85,1.5951557093425606,0.20761245674740483,1
9,0.5051903114186851,0.48801609207206964,1.055363321799308,0.4523339414810419,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.055363321799308,0.5051903114186851,0.9584775086505191,0.5190311418685121,98,58,22,26,85,1.5951557093425606,0.20761245674740483,1
10,0.4844290657439446,0.4330445511537949,1.1107266435986158,0.4287143236756201,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1107266435986158,0.4844290657439446,1.0484429065743945,0.4809688581314879,133,35,21,25,75,1.5951557093425606,0.20761245674740483,1
