pid,n_train_drivers,n_seg_full,n_seg_tail,full_set_mae,full_set_acc,full_set_qwk,full_set_macro_f1,tail_set_mae,tail_set_acc,tail_set_qwk,tail_set_macro_f1
001,11,124,37,1.935483870967742,0.24193548387096775,-0.1571470559420005,0.22392312179546225,1.7837837837837838,0.32432432432432434,-0.4002911208151383,0.27582417582417584
002,11,94,28,1.7234042553191489,0.22340425531914893,-0.21078543622624224,0.22023041474654378,1.7142857142857142,0.14285714285714285,-0.11793611793611802,0.10666666666666666
003,11,122,37,1.2459016393442623,0.27049180327868855,0.3920391234369196,0.2349683812919107,1.5945945945945945,0.1891891891891892,-0.03204747774480721,0.17238095238095238
004,11,114,34,1.1666666666666667,0.4473684210526316,0.07197530342115277,0.3044765177548682,1.1470588235294117,0.47058823529411764,0.1510883482714468,0.34004329004329004
005,11,120,36,1.9416666666666667,0.225,-0.05054363796650008,0.21020174283635354,2.0555555555555554,0.19444444444444445,0.023191094619665953,0.17754385964912278
006,11,116,35,1.0172413793103448,0.43103448275862066,0.1304256657580205,0.28250000000000003,0.6285714285714286,0.6,0.14634146341463417,0.346031746031746
007,11,136,41,1.9044117647058822,0.23529411764705882,-0.20208129502801753,0.16034700638683014,2.5365853658536586,0.0975609756097561,-0.46309813463098126,0.07173489278752436
008,11,126,38,1.3888888888888888,0.3412698412698413,0.027542995137551873,0.23519756371072362,1.368421052631579,0.34210526315789475,0.045727136431784166,0.1838095238095238
009,11,134,40,1.171641791044776,0.4626865671641791,0.4134148570964269,0.292058172242504,0.65,0.725,0.6846136517233612,0.4046822742474916
010,11,128,38,1.796875,0.2421875,-0.13379645172119936,0.15408183833904454,1.7894736842105263,0.2631578947368421,-0.30700636942675175,0.20168067226890757
011,11,116,35,1.9310344827586208,0.25862068965517243,0.10112879348630643,0.24524571701590334,1.8571428571428572,0.22857142857142856,0.1093308199811498,0.19883040935672516
012,11,116,35,1.146551724137931,0.41379310344827586,0.10872933884297509,0.31362041467304624,0.8571428571428571,0.5714285714285714,0.22834645669291342,0.3537337662337662
