pid,tau,k,l2sp,n_val,set_mae,set_acc,set_qwk,set_macro_f1,base_set_mae,base_set_acc,grad_norm
001,0.01,1,0.005,37,2.4324324324324325,0.08108108108108109,-0.49759411265213704,0.0879120879120879,1.2972972972972974,0.40540540540540543,7.829342507648107e-08
001,0.01,2,0.0025,37,2.135135135135135,0.1891891891891892,-0.5081681205392545,0.1037037037037037,1.2972972972972974,0.40540540540540543,2.3197134879637815e-08
001,0.01,3,0.0016666666666666668,37,2.135135135135135,0.1891891891891892,-0.5081681205392545,0.1037037037037037,1.2972972972972974,0.40540540540540543,2.2878976935203355e-08
001,0.01,4,0.00125,37,2.135135135135135,0.1891891891891892,-0.5081681205392545,0.1037037037037037,1.2972972972972974,0.40540540540540543,6.404138730431441e-08
001,0.01,5,0.001,37,2.027027027027027,0.21621621621621623,-0.2551847273726138,0.1960474308300395,1.2972972972972974,0.40540540540540543,6.919778172687074e-08
001,0.01,6,0.0008333333333333334,37,1.972972972972973,0.2702702702702703,-0.10212765957446801,0.22909090909090907,1.2972972972972974,0.40540540540540543,1.3445169599890505e-07
001,0.01,8,0.000625,37,2.0,0.2702702702702703,-0.11359223300970878,0.24,1.2972972972972974,0.40540540540540543,2.807564669637941e-07
001,0.01,10,0.0005,37,2.0,0.2702702702702703,-0.11359223300970878,0.24,1.2972972972972974,0.40540540540540543,1.8634857497090707e-06
001,0.01,12,0.0004166666666666667,37,2.0,0.2702702702702703,-0.11359223300970878,0.24,1.2972972972972974,0.40540540540540543,4.395411451696418e-06
001,0.01,14,0.00035714285714285714,37,1.945945945945946,0.2702702702702703,-0.08499005964214712,0.23138975966562172,1.2972972972972974,0.40540540540540543,4.751243523060111e-06
001,0.01,16,0.0003125,37,1.972972972972973,0.21621621621621623,-0.06398605751275999,0.16031746031746033,1.2972972972972974,0.40540540540540543,9.113070518651512e-06
001,0.01,20,0.00025,37,1.9189189189189189,0.2702702702702703,-0.09528649472748074,0.20656814449917899,1.2972972972972974,0.40540540540540543,9.669922292232513e-06
001,0.01,25,0.0002,37,1.9189189189189189,0.2702702702702703,0.03196401089144074,0.19356060606060604,1.2972972972972974,0.40540540540540543,2.3524560674559325e-05
001,0.01,30,0.00016666666666666666,37,2.027027027027027,0.24324324324324326,0.006848558488898759,0.14234234234234236,1.2972972972972974,0.40540540540540543,3.364514486747794e-05
001,0.01,40,0.000125,37,1.945945945945946,0.2702702702702703,0.03830369357045138,0.17230769230769233,1.2972972972972974,0.40540540540540543,6.220945942914113e-05
