pid,k,variant,fit_on,set_mae,set_acc,n_val,n_support,n_functions_seen,n_fallback,mean_cell_rows,set_mae_tail,set_acc_tail,n_val_tail
009,40,driver,support,2.2127659574468086,0.3723404255319149,94,40,5,0,8.0,nan,nan,0
009,50,driver,support,1.5238095238095237,0.2857142857142857,84,50,5,0,10.0,nan,nan,0
009,60,driver,support,1.527027027027027,0.28378378378378377,74,60,5,0,12.0,nan,nan,0
010,5,driver,support,1.032520325203252,0.6422764227642277,123,5,4,0,1.25,nan,nan,0
010,10,driver,support,1.0084745762711864,0.6440677966101694,118,10,5,0,2.0,nan,nan,0
010,20,driver,support,1.0648148148148149,0.6296296296296297,108,20,5,0,4.0,nan,nan,0
010,30,driver,support,1.1020408163265305,0.6326530612244898,98,30,5,0,6.0,nan,nan,0
010,40,driver,support,1.0454545454545454,0.6477272727272727,88,40,5,0,8.0,nan,nan,0
010,50,driver,support,1.0512820512820513,0.6538461538461539,78,50,5,0,10.0,nan,nan,0
010,60,driver,support,1.0294117647058822,0.6617647058823529,68,60,5,0,12.0,nan,nan,0
011,5,driver,support,1.990990990990991,0.06306306306306306,111,5,3,0,1.6666666666666667,nan,nan,0
011,10,driver,support,2.0,0.05660377358490566,106,10,4,0,2.5,nan,nan,0
011,20,driver,support,0.8854166666666666,0.40625,96,20,5,0,4.0,nan,nan,0
011,30,driver,support,0.872093023255814,0.4069767441860465,86,30,5,0,6.0,nan,nan,0
011,40,driver,support,0.868421052631579,0.39473684210526316,76,40,5,0,8.0,nan,nan,0
011,50,driver,support,0.8181818181818182,0.42424242424242425,66,50,5,0,10.0,nan,nan,0
011,60,driver,support,0.8571428571428571,0.375,56,60,5,0,12.0,nan,nan,0
012,5,driver,support,1.1261261261261262,0.3153153153153153,111,5,4,0,1.25,nan,nan,0
012,10,driver,support,1.150943396226415,0.3113207547169811,106,10,5,0,2.0,nan,nan,0
012,20,driver,support,1.1458333333333333,0.28125,96,20,5,0,4.0,nan,nan,0
012,30,driver,support,1.186046511627907,0.29069767441860467,86,30,5,0,6.0,nan,nan,0
012,40,driver,support,1.0921052631578947,0.3157894736842105,76,40,5,0,8.0,nan,nan,0
012,50,driver,support,1.106060606060606,0.3333333333333333,66,50,5,0,10.0,nan,nan,0
012,60,driver,support,1.1428571428571428,0.3392857142857143,56,60,5,0,12.0,nan,nan,0
001,5,driver_function,support,1.1932773109243697,0.4117647058823529,119,5,4,27,1.25,nan,nan,0
001,10,driver_function,support,1.3070175438596492,0.4649122807017544,114,10,5,0,2.0,nan,nan,0
001,20,driver_function,support,1.4134615384615385,0.4326923076923077,104,20,5,0,4.0,nan,nan,0
001,30,driver_function,support,1.5319148936170213,0.40425531914893614,94,30,5,0,6.0,nan,nan,0
001,40,driver_function,support,1.6904761904761905,0.35714285714285715,84,40,5,0,8.0,nan,nan,0
001,50,driver_function,support,1.662162162162162,0.36486486486486486,74,50,5,0,10.0,nan,nan,0
001,60,driver_function,support,1.265625,0.421875,64,60,5,0,12.0,nan,nan,0
002,5,driver_function,support,0.7078651685393258,0.651685393258427,89,5,4,11,1.25,nan,nan,0
